PetID,AdoptionSpeed,fold
1246bed4f,4,2
f680cd37a,4,2
6185f59bf,4,2
128b247b8,3,3
3161fe0f4,3,2
0133b2a29,2,4
8b636912d,2,4
b833f9624,3,3
34090e9d6,3,3
c7eac7b01,2,0
e6335f2ee,3,1
7e250a5f1,3,3
480f33a74,2,0
454aa9e20,2,3
157e3e074,2,1
dbaacc7e8,4,4
251bace70,3,0
c0b3f2081,4,3
0af685a60,2,1
01f4746ef,1,1
bb9a64e6f,2,1
8d0f353e2,3,3
f247a5242,2,2
49d4a0adf,4,1
7e3c6f81d,3,2
9c680abbe,2,1
67c9d22df,1,3
0090eb457,4,0
0b6064845,4,0
1f6fe20fc,3,0
2cde24ccc,4,3
c222a4955,4,1
65470d9c0,1,3
c00b7ba5d,4,4
683f1dfd8,4,1
8813e5e4d,4,3
10e26690b,3,3
b6f1e40a5,3,2
7b052d37d,3,2
5dc7d3dc7,3,2
c7c99d389,3,3
d2f216860,4,2
d605cb217,4,0
9d4e91ab0,4,1
9942bce62,4,2
e0667be3b,2,4
c0ca6dd73,2,2
4fcd7cfe0,2,3
9625d0998,3,2
8773f250c,2,1
b2876d101,4,0
8988d22a5,4,1
cbf20c4b0,4,3
89e43a001,1,0
085c9be4a,2,2
e50570999,3,0
8a464e436,4,4
da8d56dff,4,1
e08e93f16,4,1
db23b96cb,2,1
bb78d1aa5,3,4
29aa0b74b,4,2
7395053bc,4,4
7413a61ae,4,4
9abb10f2f,1,4
58e2cf3d9,2,3
a0cc9df12,2,2
ba4f42314,4,0
f829fad2b,1,4
df0a5e6c5,3,1
3c30c4a49,4,4
5181f9924,4,0
97c13bdf2,4,4
fa1badbb7,1,2
d29d34cfe,1,1
abc69ab7f,3,3
4fc9dee58,4,3
6668ff629,4,0
a4ade8bb2,1,4
f9d566df8,2,2
8b85a3893,3,0
7e3d0e3f0,3,0
9f4a72311,3,2
f15a31a01,4,1
c1f738966,2,0
66064ba80,2,1
392cb224a,3,3
f205876aa,2,4
3740bcc5d,2,2
ba392c802,3,2
6b685abae,3,1
8b8489a24,2,3
6c5b48801,1,4
28dc83755,1,4
45fd43894,4,4
160dcaec8,2,2
0c200f7a6,4,3
3d9784a88,2,3
eff316e87,4,1
5ffd4e822,2,2
83703d7e0,4,0
84c1afe03,4,2
b912b1114,2,2
14e52bdaf,4,3
9cf32e2a6,4,3
1377d2c0e,2,4
b859b9fa0,2,4
843738a2a,4,4
c8d2ed523,4,2
6d5afdb0f,4,4
2d06250ab,4,4
823d5bd7e,2,2
fed799a78,4,4
4a56df934,3,2
85094deda,4,2
4a0d03a9f,4,1
f506d3fd2,4,0
bc4e5abfd,2,1
e7b3f752a,2,3
c20aa0352,4,1
655eaa578,2,2
21178f3b0,2,0
d18d572dd,2,0
002278114,1,2
62f87187d,1,3
930dcdef6,2,3
2f346ac72,4,4
88bc9864c,4,3
ae64cc2e7,4,1
cfc3e65de,1,0
69d95bc54,2,4
aef2fa931,3,3
0cf709a59,3,4
375a0eb3c,4,2
1d79d37b3,3,1
e15b26ed8,2,3
bddd63050,2,4
5bb4cc5d3,2,4
b96d69dc8,2,3
e28bad751,4,3
b188b50cd,3,1
f8619af42,4,3
4d20f6163,4,0
1fe561ed9,1,3
798ff640c,4,0
938bcb826,1,4
85587ad13,4,4
f5dc70d35,4,0
b2f21fe63,2,4
091a5da01,4,3
7d2fe6bb6,4,4
bd2f5699b,2,3
3ad53090d,4,0
207d61997,1,4
924373704,3,1
e0d18f038,4,0
1b1a68a60,2,2
a80687cf1,4,3
8660ad37b,3,4
23b3f793e,4,1
a3d4585c2,3,4
bf2f87f17,4,1
d19f035bc,4,3
2a6bb49f5,4,3
4574e3de4,3,3
cccd16111,4,4
18553e89b,3,2
2256216b1,4,4
53037f091,4,4
10836809d,2,2
a906ff5f5,4,4
331c0bbf3,4,1
03f0fc32f,4,3
49f3710f9,4,3
f6c3b531d,1,3
e8e461026,2,1
a39ad6dc7,2,2
b09fa9385,3,1
8cb067b2f,3,3
d52f229d1,1,0
849ce39d4,4,1
541400630,4,4
919820452,4,0
302eb3771,3,1
c9cab5e67,1,1
d8e7caaff,4,2
66faa15c8,2,1
7cfb6fe9c,1,0
01928bd13,1,4
4f66fa0c3,4,0
b5295b0e2,1,3
92f84c5b7,3,1
58e24d608,3,1
ec40d007f,3,4
225f72952,2,4
2259cf6f8,3,2
fab063ed4,2,3
48317c9e5,3,0
846ca7805,4,2
c3106dcd5,1,2
eb64e3d68,2,3
d899c9ef7,4,3
bce0e17b9,2,1
fc3fbbb99,4,3
0adebbf21,4,2
8cce291a9,4,4
ff4d9a3c6,2,1
0497c5ed8,4,2
105c28771,4,3
5afa2e561,4,2
d5c4ef4c0,3,4
50fc25dbe,3,2
f7999c9bf,2,3
7a3471df7,2,2
e129ff4a1,2,0
b00e4262e,2,3
4f45bb293,2,4
776354931,4,2
aa2a3d9c7,2,1
e1d86f0b6,2,2
ebcdfedd2,4,4
a554dbeca,2,3
4f7bfcb68,4,2
cdd815db9,4,4
3f5f5782f,4,0
b549fd8be,4,0
47dda9537,4,3
f895c20f3,2,4
a963a6979,4,3
70112a1b9,2,1
363e8df66,4,1
f0137d4e3,2,1
ddd7cc601,1,0
04f8947f3,2,2
16eefbec7,4,4
e54ee8e55,2,3
001b1507c,1,1
42dd3f3ff,1,4
a6e7b6870,4,0
6fc1c066e,4,1
eea30b615,4,0
88666f74e,2,3
09e39377f,4,0
69a1b02f6,1,4
00f3a3993,2,2
111748c15,2,4
faec94482,3,1
a89005005,2,0
90bc90da2,1,0
c42cf01ba,2,2
10bbe5ea4,4,3
6d7e560d9,1,3
9572f7e6b,3,0
7959e3491,2,3
58805776d,4,4
9fdb3a2a2,2,3
1c7d56a42,4,0
5027f31e5,4,3
8ced67d36,4,2
cf9bc2dc8,4,0
a79983c71,2,3
15f89f939,2,3
61f95d269,1,3
1bb0600a7,3,0
8019d0c63,4,0
40d7cb083,1,1
188f8b07e,4,2
ec7ebdb47,2,1
da8cfd914,2,1
2398599fc,4,2
63a1fb887,1,2
81da09ea9,2,1
360dcecb1,1,0
2027f2dfd,2,0
ea4fe7ae2,4,3
b3543dda3,2,4
9e2a19b16,4,3
0a14ac037,2,1
f4cf82def,1,2
4ad400ba0,4,1
752b2d9c5,1,0
73b5c37dd,4,1
cd81fa60a,4,2
c362cc3cd,1,1
270461683,4,2
a6bc8d1a6,4,2
94d65e361,4,4
28e14ee81,2,3
e4e128c70,4,2
7b25498d6,3,4
9296c9064,3,0
b129e668c,3,0
9ee7776db,2,0
c0a4d02cc,2,3
4040a04bb,2,2
0fb548aac,2,4
3697f94e1,4,4
b586e1ea4,4,3
00a1f270a,4,0
3eaa698d3,4,2
f86c83084,2,0
1c9a90078,3,2
9fab4e65f,2,2
e128e9022,2,2
b43155295,4,1
6c1fa0fdb,4,1
71eac2c5e,4,0
6b3614a92,4,3
b24b7d23e,4,1
45afc38e4,3,1
886debfe8,4,2
511b4a044,3,4
c0fe34d97,3,3
fc7f7797c,2,4
0b942f000,4,0
d042e55ce,4,0
6cb63297c,2,3
e4efae0f1,4,0
bdffad31f,1,1
ce0294cec,3,2
ffbc3eaaf,4,0
b165fe8b1,4,3
4a02b467d,1,4
1c7619fdc,3,0
2da9b0c2c,1,4
16e922149,4,2
c1917c88e,1,4
f3082fa97,1,2
132a28bc9,2,1
b9dd5cfcf,3,1
39ef18e70,2,4
7b1c82382,1,0
b8fda5b3b,4,2
8834ac7da,4,2
7caa6d216,4,3
c552e255a,1,0
e748f52b7,2,3
c53fb8a18,2,0
428877021,2,0
c3e1f5f86,3,2
9ac089108,4,2
a0490612e,1,1
660cd67ed,4,1
ea02306b2,2,3
f8213a645,1,1
ef4059fae,3,4
9e6d5d0df,4,2
3f2a40f0a,4,4
20e4dbf48,4,2
5b72e14bf,3,2
9c6fdbcb4,4,4
fe481f81c,4,4
dc76a1735,4,4
fc93d7cc9,4,3
27eedd440,4,0
802b1f331,3,0
21ae91701,4,0
4a8caef08,4,3
bdfe6125d,4,2
417c109aa,2,0
865619d53,3,3
4168bfd52,3,1
b02fcb74b,2,0
5ddfaab43,1,1
87fadb3df,4,2
3f3e1f288,3,1
6ac437438,2,1
b8f94e1ff,1,2
5c1fa6bd2,4,1
bf537cdb3,4,0
eb8baed62,2,3
01231c438,2,0
5bb802fa1,4,2
30f92e1ab,4,1
2ab616a68,1,4
10554e146,2,1
59b6102ba,2,4
f7b533990,4,3
e31e27ce7,3,2
a3a0fa212,4,4
5eee1e783,3,2
2bf834f39,2,1
fe2cc3feb,2,3
1499fbe78,1,4
c3deb0697,4,1
bde802b84,4,1
bbf3097d0,1,2
bed675184,2,1
62d911513,1,2
c19e8ac4d,3,3
19cf5ba9d,3,0
d4d84523a,1,2
0ba16b529,4,1
6d1e4b433,4,3
8445b97aa,1,3
854edf08f,2,3
0f6488260,2,3
514319114,4,3
6c399cb06,1,2
ccd3e236f,3,0
3afb76273,4,1
53a451386,1,4
a9bc357f0,4,3
4347c35e5,1,4
bd74f5ce8,4,2
52ec30101,4,2
e2fbb0332,1,0
8d25867cb,1,0
9aa0e02ef,4,4
10eaafcd9,4,1
ed390241b,1,1
e69df38b4,1,3
bb2cbdb23,4,0
6c17339fe,4,1
f1b4a123f,3,3
81ecf4cda,1,2
1c0aa9866,1,0
d3ef2ebef,3,2
ab4407477,4,0
211b0aa56,2,0
c1a9d98fb,2,4
2ca38a180,4,1
af4483325,1,2
2fe1eb7b8,4,4
4c9f111f1,4,3
a7554fc9e,1,1
ac49bdbdd,2,4
168f1c6e9,4,2
1945e2783,1,0
88a5b8318,4,1
2148c2ef6,4,2
1e0be9e49,4,2
a2ee6f2da,1,4
afdc5f01d,4,4
5548fa6f4,2,4
52ffdc6c2,4,2
cc607ef5c,4,2
55c827f51,3,4
f810c2cae,2,4
6366b7f4a,1,2
a79e1889c,4,1
3d13aab91,2,0
0bcb2c2b5,3,4
1238ed024,3,0
49f6a8909,4,0
ce18c7a4b,2,0
cc4670dac,4,0
13264f4f4,3,1
dbba10f87,4,0
fe056693f,4,2
4140b3b5a,3,1
5730742ae,1,0
b932b3915,2,1
4ff447944,4,0
d0b9282c8,2,4
e297b5ede,2,4
1c67c5f4c,1,4
d5ee02201,2,0
166092e21,1,0
36e02d379,4,1
07877aea7,2,4
619dcb4e6,4,0
edba94b45,4,2
0f4291ce6,3,4
c32940f0f,2,4
b0f2a1939,2,2
97a80f8b3,4,1
467faacc0,4,0
cd1e7ec9d,1,3
54224dada,4,2
90e582b0c,2,1
e5e06c8dd,2,2
08fb442fa,4,1
b652b7241,4,1
4325e9930,2,3
7f33563b9,1,4
8cc02d983,3,4
df6f884c0,2,0
07914c759,4,2
e2db9e1eb,3,3
b9f90bdfe,3,2
7559336dc,4,4
9550556bf,4,3
c36943627,3,1
6029e0ed0,4,0
4bdc7be69,1,1
9c76163ca,4,0
955e7c5cf,4,2
11543e9ce,2,3
9a591a8d9,3,3
f8204bf7c,4,3
4df43033d,4,2
db745332f,4,2
7d3dd49c5,4,2
775d4b52e,4,1
a8f2a5210,4,0
2def0a43e,4,0
da34209ec,2,0
282678629,4,4
04bad9310,1,4
34d5748f7,2,4
e0dc745da,2,4
ee0eff05e,2,1
7cbad35f9,1,2
ff832cb7e,4,1
b52b8d946,4,4
072bb91b4,3,2
9295d02bd,2,0
73066f6ff,3,0
5daea1779,3,0
29fd25bc8,2,2
70aeba909,3,2
5e6a7ea61,4,4
bb2c896c5,2,2
eba013abc,4,4
7023f6b45,3,1
060d1de98,4,3
b49012dd4,2,2
f4ed1a08e,4,0
0e12b9baa,4,1
fb9833d4b,4,3
a63f6c6a1,3,0
7bead49ed,4,0
acd81a109,3,2
628a224b2,4,4
d61dd6a6b,4,4
b0ad07cfc,3,1
017d966eb,2,2
7b84a3913,1,2
c763886a6,2,4
9d4f21d40,2,3
f288b4919,3,3
81fddeac7,1,1
769d800fa,2,1
e1c5d6ba9,4,4
8f38dbd18,2,1
7a7f8a828,1,0
beea1e1dd,4,1
cf357f057,4,3
fee0b4da6,1,2
809ca8efd,3,1
a996f1370,2,2
9804a7d82,1,4
ae58f28bc,2,0
c9c023b3e,4,4
5f1a700fd,3,3
bf9fe33d0,4,3
47caf7ad1,4,3
d1a11cf42,2,4
248c027cb,3,1
ac6adc2e4,2,2
983879402,2,2
cbfaa79cb,4,4
7811bdd84,2,4
042dfb970,2,2
7494b6aa9,3,4
ce9d5fb9f,1,2
03c49f5aa,1,2
423c5b45f,3,4
2260ef0a0,4,0
05d8b5a9d,2,1
7ecd54695,4,3
9726ab93e,4,0
bd331b74e,2,0
5e7db4c54,1,4
ab0bb2f5a,4,4
a61776aba,4,0
1b7d01262,1,4
a76fa694e,4,2
79a9a7b05,2,1
1a1283447,2,4
85332d295,1,3
b2a23ac85,4,0
2ef8bed36,2,4
0910c13a3,4,3
949fbd095,4,1
2d7a45689,1,4
9427b3749,1,2
ccb7df174,2,0
68e6f19f5,2,4
e5164d828,3,1
a56d6eceb,2,4
577c72b39,2,1
b1be2a9e8,4,0
2e65d72c2,2,0
b06c1ad30,4,4
5ed271e0d,4,2
eb4c66e7a,3,3
6648175ff,4,3
ab4b4681b,4,4
bfcbca117,3,2
41ee53918,2,2
d1a67cee6,3,0
3e26edfa8,3,3
3af14a63c,3,4
6198e214e,2,3
43b6e3f2a,2,0
bf1762a3a,4,3
e1dcf0e9e,1,0
2dea0707b,4,0
9d0406864,2,3
6333963fe,4,4
4d101a0c3,2,1
d3b017517,3,0
504e4ec84,1,0
96477b249,4,4
b822d0566,3,3
0850d4334,4,1
b543331f4,4,1
c0b1f82b1,4,4
e13488562,4,0
25079d00a,4,3
46b9595d0,4,0
13e385580,2,1
ae3a99b36,3,3
523aeba08,1,3
982c6aa5b,1,2
133a0db2c,3,2
160e267f4,2,4
48cd2ebaa,3,3
26cd1c2ee,3,4
2b1582f99,4,0
9a0db11a9,3,1
48dd9f35f,4,0
694cc5569,3,1
1effd827e,2,4
10337747f,2,4
370d9c1ba,4,1
4a6fea502,2,0
42ea4ccd8,2,4
796cc971d,4,0
ec0fd1a7e,2,1
a09008d49,4,2
5f9a836f8,4,4
c3f2f166d,4,3
35b9530a6,4,2
3a7d3c17e,4,2
9252b5dc8,4,2
ff2cf88a0,4,4
f4060848e,1,4
392caeaed,4,1
09f31b13e,4,3
51d815775,1,1
1eb8a0278,1,0
ffd506899,1,0
fb999f812,1,4
343962804,4,4
3c1cc2c24,3,4
57f2482cc,4,3
a6416e28a,2,0
b28de653f,4,3
213cf987d,2,2
b42873eb7,4,0
983160271,2,3
846e720dc,4,2
412b8d565,3,2
28b64c198,4,4
2af9db4dc,4,3
8d6f10684,2,0
1683f03de,2,1
53549acd2,4,2
a809464ca,4,1
c69315120,4,2
a678a4342,3,2
5c2fdb3cd,2,1
9e935b385,1,4
55b799287,4,3
8e3473e81,1,3
61fa73996,4,3
43c8e589d,2,4
dd0d78496,4,2
727a1c793,4,3
6c9e1c82f,2,4
14bbc5876,4,0
0a0e8c15b,4,0
1a4a2e683,1,1
c3eefdcd8,3,4
973dddde5,1,2
a119ce67e,2,4
d840b5a02,2,1
11757c072,2,4
787086e9d,4,4
91bcb5a0a,2,3
e90451ea4,1,1
1803e4c27,4,3
5e5d1fc6d,2,0
672cc8af8,2,2
6c324e80a,3,3
1a54d4e92,3,0
fcc138c39,4,0
0c0508818,4,3
29778124f,4,1
f4c27e753,4,3
4464fa621,2,4
4a1274da0,1,1
3d1d0f102,2,0
fe22cc3da,4,4
e8c9545c7,4,0
1c8a8385e,4,4
eb3b2ad1f,3,3
0cc3e27b5,2,3
a16f85c6f,3,4
6460390c0,4,2
b78b30c18,3,1
8a6f0c997,2,3
e995db95f,3,1
e4afff6dd,4,4
82c90e313,3,2
964b2fec4,3,2
fd717a456,4,1
bdc94bd91,3,0
89792afe0,4,0
7439df9c4,4,3
afab70239,4,1
269192694,2,4
5d83f98eb,2,3
1dc24448c,4,3
530b7bcec,4,3
6a763a055,3,3
a528683b3,4,3
87f206cea,1,1
d7dc2efde,2,2
062f73a4b,3,3
f0788c412,4,1
2986194f1,4,4
48dd04601,3,3
082b9a2de,4,1
47ecc7ef4,1,4
53eda13e6,2,1
642ed14e6,1,4
a630f3a73,2,4
d77a6813d,2,0
429019089,4,4
be38039cc,3,0
b06d39b09,4,1
647284f19,4,4
fd6dd3835,1,0
799ea79a2,2,4
8cebbeec1,4,0
05492e461,2,1
41b98eea2,2,0
f11772123,4,2
8da3d6fc5,1,0
e914bdd82,1,1
b0dec8779,3,1
06f523361,1,4
24aaed171,1,3
5f20dde82,1,3
1d4adbcc2,3,1
5149bb7f8,2,0
a91761e54,4,0
437b01de4,4,1
b27f46ae3,3,1
ec8411943,3,0
df356def7,1,2
cd3cd5fcc,2,3
a6992bbc5,1,1
774289137,2,3
ea159d8da,4,0
404eab70f,2,4
9ea3739e8,2,2
419d296e7,3,2
5adb4e661,3,2
007bc1db4,4,4
93f758039,3,1
fb5ef5522,4,3
d4bdcd89c,2,3
6c896760b,1,0
976cd59b0,4,3
2599e55c5,4,3
6a48f776b,3,4
dbd4f79ef,4,0
acb614bba,2,2
373880ef5,2,1
3983e7c06,2,2
fa41fb473,2,3
41bbdb352,2,0
0fb490c9b,1,0
8685546cb,4,0
fbcadae16,2,4
879c40dfa,1,1
ba20d5a08,4,1
8a1e12a30,4,0
a68361fdb,2,0
007ffeccd,2,0
c58ad77c4,4,1
61338b2e9,4,3
91c2159dd,4,1
7711871ae,1,3
1a47d1c94,4,2
78a8e1b01,4,2
b2937acb6,4,0
d8715d47e,4,2
2023404f9,4,2
378406cf4,4,0
33add94a0,1,2
11ad894e6,2,4
12c4ed873,1,2
ed7cde89e,4,3
0e8c2a1aa,3,1
0a38a1059,4,4
f0b2787f5,4,3
29a08292f,2,1
8f0468771,4,0
dc371c173,3,4
0b8e1dd80,4,4
1100bff90,4,1
54c5d6442,1,2
74c7373bd,4,2
8a9a4edd7,2,1
623138a05,1,2
1ffe668f9,4,0
400cbe759,2,4
077001793,3,1
dfa8ac290,4,0
119903786,3,0
87639ef4c,2,3
7131cab79,2,3
e4277c6de,3,3
402799b02,3,2
e98e609ac,2,3
e24b153bb,3,0
d0b98e001,1,0
86d203b94,3,4
d7a050445,1,1
cc515ec8c,2,1
a462b563c,2,3
132346d7e,4,1
de1f49c9d,3,1
7564c7b62,4,0
f93fe66ef,1,4
3397adec3,4,3
a81084ff0,2,1
2d88536fc,4,4
03a92a94f,2,1
a7b91a377,4,3
fc2012c7e,1,0
9468e2ed1,1,1
b88fa24c2,4,2
ae4e546cb,1,1
a0e71d03a,4,3
f77be41c3,2,3
628fd5227,4,4
868dcd617,2,0
85114144b,2,2
5b22f97b3,3,4
0308c9eda,4,0
68f3cfdcb,2,0
d01112d4a,4,2
94af242ed,4,3
173fa657f,2,2
8cee52ff2,4,0
ec780b913,2,0
72d77924a,4,1
04c4a7493,2,3
1b932e373,1,4
af8138fea,4,2
2c46efe8f,4,0
bf90589d1,4,0
5597af31b,4,3
28ec2de89,2,2
09a41530d,2,1
34f6111bf,2,1
c7e61f3c2,3,2
a366ce2a5,4,2
07cf7d230,1,1
400a15912,3,0
03f48e12b,1,2
b8d07c37b,2,0
25a834a2e,1,2
2caa6639a,1,4
0dfd484a6,4,2
5a4b92653,2,4
0a84451ae,4,1
acc76c678,4,1
98686f3bc,4,2
bc681e945,2,0
c7c6fc160,4,4
86c35033b,2,0
966598774,4,3
058394848,2,0
5b59ef7ee,4,0
0e9a2fed4,2,1
426132585,1,4
531e56f63,4,3
db2d1ccaf,4,0
ff498c903,4,0
8cd149470,2,4
63ddd39f4,4,0
d5a027e6c,2,3
a05c489dc,3,2
0658597c9,1,4
fce9a96ce,4,1
7678afa65,4,3
1976719f7,1,0
ea4cea375,4,2
036c684d3,2,1
3c0ca0676,1,4
ee6601d0b,4,3
e2f5253f7,4,4
858854bb5,4,0
59a23bac0,4,4
a25a5ad9e,2,4
5e8f72190,4,3
23eddf1d8,4,0
1eb9e42bd,4,0
2ea25b63b,4,2
637186543,4,0
360f2c8b9,2,2
2e553e40a,2,1
cad137e83,2,2
b8084fe32,2,3
67c74483f,2,1
a6231927c,3,2
d92c326f8,2,4
073f265c3,1,3
747359fcb,3,3
dcf2641f2,3,3
70a33ed88,1,2
975cf510c,4,0
c8a6c0351,2,4
6a8f9aa52,2,4
08f54d056,2,0
a04c35bc6,1,2
0cb5ad250,1,1
d1a577692,4,0
93cdb10e6,4,0
0d7d16ce1,1,4
05bde54cc,2,2
59f987236,1,1
3e65ffa3c,3,3
802986a45,4,3
3dd380ccb,2,2
3033b66f9,2,4
e01bb78f2,4,2
064217ca4,4,3
eb900ff8a,3,3
fd48a560c,3,1
c0771fde0,1,3
f399cf0d2,3,4
af1035c81,3,4
39816161d,2,0
45a59c4e9,3,3
35c9855f5,2,2
59c9f850a,4,0
efb2cb92c,4,0
189a8292b,4,4
cd617c72c,2,1
f05665d6d,2,0
5906e36c5,1,0
f026fa4b5,3,4
f41112ee1,2,0
cb15b5fb8,2,2
799aad68b,2,0
fbb112b7e,3,3
4fb9fc3d1,2,1
c39c602a7,1,0
65650b974,2,3
d06076338,2,0
603fa62e1,2,0
80bbb481b,1,3
6dd91ba4d,1,3
7f8f45a35,2,1
890e7be2b,4,2
40fdde0aa,4,1
45c718348,3,0
41c09806e,4,2
d433a5827,2,3
f48b3cebb,4,4
91736f444,2,1
559e15485,1,1
a878a916e,2,3
59e7b5f52,2,3
271712276,1,1
a4ebfdf22,1,0
5a3599411,4,1
96b39751e,2,0
4409a68b9,2,2
10a6c97d5,2,3
ebdf19959,4,3
0058586f1,4,0
5da6b63bc,4,1
d2dd7e8c2,4,2
9ae0545c1,4,2
006d301e9,3,2
722beb3aa,4,0
0ac2e7d16,1,2
0c49c9df2,4,0
047514286,4,1
469bd2504,2,3
4e290a43a,1,0
89dd8e9e9,1,1
5742d498f,4,2
b47ab81c9,3,0
81d97fa9f,3,2
411792ceb,4,1
d60dbdd7a,3,4
8c7949266,2,4
2e4eb9198,2,0
16ff0c687,2,2
a22c43e29,4,2
b1239feb4,2,1
5943167f1,2,1
0133b0214,4,4
0eaa0e3c6,1,4
727b7e63a,3,4
8390dbef8,4,1
f45171393,4,4
6d2c3b550,2,1
f87c02978,1,4
6268d4d68,3,4
ee9c2fd46,4,0
1250404cf,4,2
89c7be602,4,3
b8f60eb7e,4,0
0e23c4abd,2,1
1ce37d745,4,2
61c5987cd,1,3
0ea337520,4,0
a9caf7e92,4,0
aa1cf9c0c,4,0
fa773690e,2,4
6b240dd0b,4,2
8fa705c07,1,0
8c93a6e28,2,4
603e173e1,4,2
8ad59da0e,4,1
aece30836,2,0
9ede28a9d,4,3
96e9f6fd8,3,2
943bcd4db,4,2
ca11826f9,4,4
f8fb0aa55,2,1
0e9eec98f,2,3
b48460ef7,3,4
d8d014d03,4,4
f57a5c0ea,1,0
85c65d28b,1,3
843f45598,2,1
21f945788,3,2
b91ac808b,4,0
b7910b841,2,0
1e34e1ebe,4,2
5042c6414,3,4
81b753aaa,4,3
2ddad75c0,3,4
b6a16ab86,4,1
27cd530db,4,2
9c443e54d,4,2
d919bd302,4,4
2d33077f2,4,0
e9df3ead7,4,3
1bb6183eb,1,2
0118db3a8,4,0
1eeb50e8f,4,1
b8bf2c090,4,3
9a1715a97,2,4
207c30391,4,2
b75c41dd5,4,2
4b9f45715,3,0
cacbb858d,4,0
c1ed7562f,4,1
ebb34fea1,4,4
6ade0f2fe,4,0
f99149151,2,4
ed44605a0,2,1
31da37bc0,4,3
91298d5cf,4,1
8a99dadaf,3,0
bd4500e6c,2,1
fd279ad95,2,1
7bf8a38ee,4,1
e6821c448,2,4
cd091f4cf,2,2
598479067,2,2
296bafb6e,3,3
11b9089f7,4,4
3a4178fe9,4,0
1b71de34e,4,0
052160ae6,1,1
dcd75bfdb,4,0
26662f4f9,3,2
1e24f14d6,4,0
747125bc9,2,2
3f936cb8a,2,1
3e2c46391,3,0
ba6ea2d18,2,4
edf80e3cc,4,3
851302ab1,4,0
27104e464,4,1
7f5233804,2,4
cbd066eaf,2,0
194acc3f9,2,4
ed5f14fda,4,4
26e7f93e8,3,4
b1db8335c,4,2
4badb22cb,1,3
c18106b39,4,1
ec138f2a8,4,4
261cbe336,2,1
c3750cec1,4,4
f642366b6,1,2
b3c2305b0,1,3
a52a7c357,1,0
19470706b,4,0
c6de9b701,4,0
c011bc363,1,4
1f9b856e0,4,2
baf60f1bb,4,4
9eb042155,1,0
7dac377c6,4,4
dd074b8ba,2,1
19f4d65b7,4,0
5457a593a,4,0
578880eb3,3,3
30669fef4,2,3
8526200d3,3,1
9f12dbf17,4,1
27a776558,2,3
