PetID,nlp_proba_1,nlp_proba_2,nlp_proba_3,nlp_proba_4,nlp_pred
018e4d193,0.08811515,0.10612048,0.16421181,0.64155257,4
b4fb9949b,0.37238902,0.35376224,0.117225945,0.15662277,1
f5cb16efb,0.11992122,0.30240348,0.1494577,0.4282176,4
199277f1a,0.024496425,0.094987825,0.067953244,0.81256247,4
9f9bfa4d9,0.03246252,0.087499365,0.08231581,0.79772234,4
8ecb9aab0,0.06948118,0.44599545,0.45955124,0.024972178,3
be5595abb,0.013023146,0.734818,0.23869734,0.013461513,2
24dbfaf39,0.16910687,0.2949193,0.4139237,0.12205011,3
43021e4ed,0.13149695,0.31775102,0.058819093,0.49193296,4
7374edef0,0.001054939,0.37084106,0.6250108,0.0030931884,3
2fcbb6376,0.0043758084,0.008869132,0.021683091,0.96507204,4
a9c968c38,0.17342262,0.3244621,0.28448698,0.21762826,2
2d8db1c19,0.002422161,0.0018126717,0.006402377,0.9893629,4
d03356a0e,0.061144456,0.034439508,0.008570073,0.8958459,4
9dfd5312c,0.057811838,0.11840301,0.054136828,0.7696483,4
96d7ed5de,0.058627497,0.05252289,0.01836969,0.8704798,4
3d011c364,0.116516106,0.06801427,0.010038784,0.8054309,4
74cd0ff66,0.0070552,0.31463584,0.6117497,0.06655923,3
24bbd04ce,0.067955926,0.16388921,0.12480891,0.64334595,4
1117a135d,0.023269473,0.049035657,0.0063694343,0.9213255,4
69975d223,0.05183881,0.04711898,0.05983968,0.84120256,4
2ad6c7675,0.08587092,0.31245193,0.49438146,0.10729574,3
f2472c8dd,0.32299057,0.15010326,0.09220239,0.4347038,4
a22daaa5f,0.19515246,0.56258166,0.050597668,0.19166824,2
1246bed4f,0.0075315284,0.014718318,0.018219022,0.9595311,4
f680cd37a,0.14957571,0.11287501,0.15036307,0.5871862,4
6185f59bf,0.18737538,0.26165783,0.33965534,0.21131152,3
128b247b8,0.24902879,0.29387656,0.09964854,0.3574461,4
3161fe0f4,0.1336091,0.30644074,0.5353297,0.024620522,3
0133b2a29,0.4797005,0.1369778,0.03573586,0.34758586,1
8b636912d,0.020894382,0.9550726,0.021746825,0.002286168,2
b833f9624,0.02190415,0.11011966,0.23169881,0.6362773,4
34090e9d6,0.03016342,0.046584927,0.059983905,0.8632678,4
c7eac7b01,0.7181673,0.20635408,0.04655475,0.028923905,1
e6335f2ee,0.055225633,0.13775802,0.59451103,0.21250536,3
7e250a5f1,0.35474148,0.26058492,0.17173214,0.21294142,1
480f33a74,0.39570907,0.4245243,0.06383607,0.11593055,2
454aa9e20,0.18001653,0.17590016,0.086251,0.5578323,4
157e3e074,0.04695613,0.7169442,0.23358874,0.0025109104,2
dbaacc7e8,0.034558654,0.026052363,0.0085650645,0.93082386,4
251bace70,0.15833835,0.34591854,0.03903356,0.4567095,4
c0b3f2081,0.07759588,0.24175099,0.19347993,0.48717326,4
0af685a60,0.1446993,0.06191126,0.23361535,0.55977404,4
01f4746ef,0.015175903,0.109099604,0.84410614,0.031618305,3
bb9a64e6f,0.068042256,0.38046992,0.5077869,0.04370089,3
8d0f353e2,0.09478469,0.26418704,0.5387185,0.10230977,3
f247a5242,0.026115071,0.060691353,0.093887225,0.8193063,4
49d4a0adf,0.012748189,0.012474863,0.060926784,0.9138501,4
7e3c6f81d,0.18303896,0.33610234,0.103579246,0.37727952,4
9c680abbe,0.27298906,0.5653245,0.118063495,0.043622922,2
67c9d22df,0.12450368,0.13807268,0.09932661,0.63809705,4
0090eb457,0.30431938,0.2543435,0.33527222,0.1060649,3
0b6064845,0.017840754,0.016394582,0.02396788,0.9417967,4
1f6fe20fc,0.1814711,0.5689908,0.21556862,0.03396946,2
2cde24ccc,0.21896383,0.27931765,0.45166466,0.05005385,3
c222a4955,0.04928144,0.10435074,0.33727515,0.5090927,4
65470d9c0,0.021971196,0.38397223,0.58449495,0.00956168,3
c00b7ba5d,0.068387315,0.74852973,0.1282253,0.05485772,2
683f1dfd8,0.020555481,0.045284443,0.06941348,0.8647466,4
8813e5e4d,0.04675264,0.17439592,0.04304949,0.73580194,4
10e26690b,0.08964398,0.49221537,0.29661176,0.12152887,2
b6f1e40a5,0.25364745,0.1441748,0.12748966,0.4746882,4
7b052d37d,0.17974055,0.27395853,0.50450546,0.041795444,3
5dc7d3dc7,0.1423013,0.33884642,0.46912962,0.049722705,3
c7c99d389,0.15431762,0.6226097,0.18625532,0.036817368,2
d2f216860,0.3259652,0.41250744,0.1427914,0.1187359,2
d605cb217,0.006222043,0.012937977,0.009406943,0.97143304,4
9d4e91ab0,0.0062692827,0.013581718,0.07326828,0.90688074,4
9942bce62,0.12748212,0.2630499,0.21004987,0.39941815,4
e0667be3b,0.9567184,0.02566816,0.014651099,0.0029624384,1
c0ca6dd73,0.056243103,0.15154527,0.09393449,0.6982771,4
4fcd7cfe0,0.08023753,0.59042627,0.21203555,0.11730063,2
9625d0998,0.10283614,0.20217064,0.12604094,0.56895226,4
8773f250c,0.5624854,0.06566759,0.34857398,0.023273006,1
b2876d101,0.25990003,0.23641351,0.12893213,0.37475437,4
8988d22a5,0.09232606,0.031279694,0.036152624,0.8402417,4
cbf20c4b0,0.030260716,0.1179406,0.2226467,0.629152,4
89e43a001,0.023438089,0.66430914,0.295239,0.017013831,2
085c9be4a,0.052488625,0.18316673,0.34821305,0.4161316,4
e50570999,0.22186436,0.40808856,0.33370784,0.03633917,2
8a464e436,0.0035174654,0.6888013,0.3062767,0.001404478,2
da8d56dff,0.07775643,0.042941835,0.102045126,0.77725667,4
e08e93f16,0.62796533,0.22819935,0.07443967,0.06939576,1
db23b96cb,0.04437833,0.081771925,0.12820996,0.74563974,4
bb78d1aa5,0.078146115,0.9068401,0.009417269,0.005596585,2
29aa0b74b,0.14067465,0.19461067,0.35011634,0.3145984,3
7395053bc,0.08911315,0.26462823,0.3647106,0.28154802,3
7413a61ae,0.004646664,0.01106555,0.05615903,0.92812866,4
9abb10f2f,0.014825628,0.9537901,0.030380378,0.0010038962,2
58e2cf3d9,0.30454588,0.30863714,0.12510446,0.2617125,2
a0cc9df12,0.27415043,0.31201497,0.16219935,0.2516352,2
ba4f42314,0.013473218,0.012989024,0.025691042,0.9478468,4
f829fad2b,0.0045373044,0.0042906147,0.013219781,0.9779523,4
df0a5e6c5,0.08490373,0.13021916,0.3518263,0.43305084,4
3c30c4a49,0.006552152,0.0029723078,0.009915421,0.98056006,4
5181f9924,0.19844405,0.3044684,0.20981203,0.28727552,2
97c13bdf2,0.0039395303,0.0023034655,0.008910956,0.9848461,4
fa1badbb7,0.30633274,0.31372988,0.2673465,0.11259089,2
d29d34cfe,0.4584298,0.20458457,0.28118843,0.05579723,1
abc69ab7f,0.10786772,0.4927917,0.187112,0.2122286,2
4fc9dee58,0.17506757,0.18484198,0.10172187,0.5383686,4
6668ff629,0.24026953,0.67097753,0.06087777,0.027875224,2
a4ade8bb2,0.24677536,0.4969644,0.25126135,0.0049989624,2
f9d566df8,0.10391794,0.36138123,0.23930666,0.29539418,2
8b85a3893,0.039837286,0.03895467,0.021486988,0.8997211,4
7e3d0e3f0,0.19688146,0.2525138,0.41169715,0.1389075,3
9f4a72311,0.044245284,0.31607682,0.5875852,0.052092694,3
f15a31a01,0.0054830764,0.0016800638,0.010139346,0.9826974,4
c1f738966,0.053681646,0.29562414,0.058202907,0.5924913,4
66064ba80,0.07869409,0.6149362,0.2780006,0.028369147,2
392cb224a,0.26926807,0.5895577,0.11930012,0.021874132,2
f205876aa,0.46042386,0.44633326,0.012073078,0.08116976,1
3740bcc5d,0.3240191,0.38463175,0.113284186,0.1780649,2
ba392c802,0.29411495,0.14082207,0.1171524,0.44791052,4
6b685abae,0.031506855,0.025968216,0.43911988,0.50340503,4
8b8489a24,0.4776843,0.28916025,0.18734612,0.045809302,1
6c5b48801,0.0048837517,0.98226595,0.012642777,0.00020746927,2
28dc83755,0.028330434,0.9267973,0.04164077,0.003231484,2
45fd43894,0.094940566,0.85884535,0.013588057,0.03262601,2
160dcaec8,0.40994963,0.30372512,0.07804448,0.20828076,1
0c200f7a6,0.017999394,0.049651127,0.024233205,0.9081163,4
3d9784a88,0.042052772,0.13074058,0.053506836,0.7736998,4
eff316e87,0.16429684,0.25917882,0.09249957,0.48402476,4
5ffd4e822,0.1526593,0.22365795,0.5389867,0.084696084,3
83703d7e0,0.07198544,0.79425347,0.09984881,0.033912286,2
84c1afe03,0.21455903,0.22896363,0.13811441,0.41836295,4
b912b1114,0.17493466,0.6151245,0.14556272,0.06437808,2
14e52bdaf,0.021236382,0.048148163,0.062691726,0.86792374,4
9cf32e2a6,0.028418481,0.027763572,0.019346906,0.9244711,4
1377d2c0e,0.17308341,0.7491185,0.028360603,0.04943753,2
b859b9fa0,0.040093925,0.9372121,0.005969879,0.016724,2
843738a2a,0.011396871,0.14698595,0.120924145,0.720693,4
c8d2ed523,0.32322553,0.23913833,0.087869175,0.34976694,4
6d5afdb0f,0.0075987857,0.007804872,0.0036914116,0.9809048,4
2d06250ab,0.004193084,0.79719657,0.13738224,0.061228123,2
823d5bd7e,0.35177085,0.35953492,0.12888141,0.15981287,2
fed799a78,0.011396871,0.14698595,0.120924145,0.720693,4
4a56df934,0.30368912,0.3616303,0.11532455,0.21935607,2
85094deda,0.17312999,0.35581,0.43513143,0.0359286,3
4a0d03a9f,0.12495174,0.037947465,0.14897105,0.6881298,4
f506d3fd2,0.5977522,0.32445326,0.05776386,0.02003067,1
bc4e5abfd,0.19203977,0.6240604,0.18189858,0.002001256,2
e7b3f752a,0.45927468,0.33600655,0.07737564,0.12734306,1
c20aa0352,0.0022154984,0.004452433,0.012565211,0.9807669,4
655eaa578,0.35604036,0.45530167,0.15689716,0.031760782,2
21178f3b0,0.012828979,0.7771858,0.20454168,0.0054435586,2
d18d572dd,0.32953426,0.2673912,0.22645305,0.1766215,1
002278114,0.23562384,0.6046315,0.120502494,0.039242174,2
62f87187d,0.03660454,0.048488256,0.04971028,0.8651969,4
930dcdef6,0.2774736,0.26446727,0.124858834,0.3332003,4
2f346ac72,0.08275066,0.36058062,0.17514339,0.38152528,4
88bc9864c,0.14822856,0.19027765,0.074574955,0.58691883,4
ae64cc2e7,0.006000617,0.0028919717,0.011218185,0.9798892,4
cfc3e65de,0.18424372,0.70445776,0.1077298,0.0035687208,2
69d95bc54,0.038569707,0.048126694,0.88991946,0.023384096,3
aef2fa931,0.061463956,0.11309974,0.09047114,0.7349651,4
0cf709a59,0.0056645074,0.0032579629,0.0067280964,0.9843494,4
375a0eb3c,0.2828599,0.41978568,0.10833312,0.18902132,2
1d79d37b3,0.72948045,0.16107512,0.06651641,0.042927973,1
e15b26ed8,0.18692365,0.5718497,0.21789771,0.023328919,2
bddd63050,0.009688355,0.028807627,0.95583665,0.005667331,3
5bb4cc5d3,0.7036082,0.050661456,0.20034654,0.045383736,1
b96d69dc8,0.17646417,0.29046476,0.100645795,0.43242526,4
e28bad751,0.08542876,0.122938104,0.22700594,0.5646272,4
b188b50cd,0.13025363,0.2837572,0.5510842,0.034904946,3
f8619af42,0.07086431,0.21733868,0.11467948,0.5971175,4
4d20f6163,0.014890577,0.04644256,0.05022724,0.88843954,4
1fe561ed9,0.36864546,0.2936049,0.07548138,0.26226825,1
798ff640c,0.35032493,0.4777277,0.14998986,0.021957448,2
938bcb826,0.008073682,0.89068526,0.088455215,0.012785883,2
85587ad13,0.006827014,0.05919307,0.90486556,0.029114345,3
f5dc70d35,0.19203897,0.048168324,0.026626399,0.7331662,4
b2f21fe63,0.19206272,0.23823166,0.030640779,0.5390648,4
091a5da01,0.20100205,0.22233154,0.13492608,0.4417403,4
7d2fe6bb6,0.32782373,0.62387484,0.04670803,0.0015933898,2
bd2f5699b,0.17513297,0.6061454,0.079281226,0.13944049,2
3ad53090d,0.03952694,0.853479,0.03997025,0.06702377,2
207d61997,0.3505804,0.03628469,0.02062152,0.5925135,4
924373704,0.055419024,0.5992779,0.33609784,0.009205254,2
e0d18f038,0.2761772,0.26150426,0.23047377,0.23184474,1
1b1a68a60,0.12866236,0.50163317,0.26680365,0.10290086,2
a80687cf1,0.10113267,0.17489424,0.054434653,0.66953844,4
8660ad37b,0.0019494871,0.11383951,0.88168144,0.0025295997,3
23b3f793e,0.061566763,0.1325421,0.6319814,0.17390975,3
a3d4585c2,0.07235967,0.40911818,0.38135135,0.13717072,2
bf2f87f17,0.0024486284,0.0022030037,0.011249204,0.98409915,4
d19f035bc,0.08090333,0.5168841,0.346966,0.055246606,2
2a6bb49f5,0.061091833,0.22036321,0.1097891,0.6087558,4
4574e3de4,0.2753257,0.26427907,0.060580917,0.39981434,4
cccd16111,0.0017888686,0.07342829,0.8477433,0.07703953,3
18553e89b,0.47579023,0.32700062,0.17551017,0.021698942,1
2256216b1,0.008686478,0.0046709296,0.03012245,0.95652014,4
53037f091,0.025169598,0.48952904,0.4800388,0.0052625714,2
10836809d,0.29731476,0.5230124,0.1722393,0.007433477,2
a906ff5f5,0.0022295788,0.0027162074,0.005933122,0.989121,4
331c0bbf3,0.033985738,0.053213466,0.03591457,0.87688625,4
03f0fc32f,0.018851303,0.06233015,0.033842165,0.8849764,4
49f3710f9,0.04411512,0.058680814,0.09211521,0.80508876,4
f6c3b531d,0.39008653,0.3070615,0.11967597,0.18317601,1
e8e461026,0.09680833,0.75267833,0.13986827,0.010645085,2
a39ad6dc7,0.35042128,0.18457103,0.26170495,0.20330277,1
b09fa9385,0.013548997,0.1526206,0.8275693,0.006261063,3
8cb067b2f,0.043228254,0.3441203,0.5965366,0.016114933,3
d52f229d1,0.008640668,0.40731743,0.56922644,0.014815455,3
849ce39d4,0.096033655,0.17219183,0.07618311,0.6555914,4
541400630,0.03555184,0.8249751,0.12895775,0.010515292,2
919820452,0.019544968,0.7566747,0.22115734,0.0026228703,2
302eb3771,0.2913398,0.25659266,0.2822993,0.16976826,1
c9cab5e67,0.6287553,0.32076898,0.04456367,0.005912084,1
d8e7caaff,0.2640959,0.28973943,0.15256865,0.29359597,4
66faa15c8,0.2747804,0.28134224,0.22349642,0.2203809,2
7cfb6fe9c,0.5785947,0.21479815,0.11036275,0.09624446,1
01928bd13,0.8758813,0.12012124,0.0019354329,0.0020619931,1
4f66fa0c3,0.2007567,0.13235207,0.28728396,0.37960732,4
b5295b0e2,0.24314222,0.48820615,0.13054024,0.1381114,2
92f84c5b7,0.18970332,0.22809236,0.5807814,0.0014229158,3
58e24d608,0.19518892,0.26925126,0.45016268,0.085397154,3
ec40d007f,0.012239093,0.9624131,0.024870675,0.000477149,2
225f72952,0.11411826,0.53236043,0.34931326,0.0042080856,2
2259cf6f8,0.024744902,0.057274736,0.13598938,0.781991,4
fab063ed4,0.3641897,0.38192025,0.075131685,0.17875834,2
48317c9e5,0.39774874,0.48356724,0.09715611,0.021527907,2
846ca7805,0.30480462,0.34853268,0.09770002,0.2489627,2
c3106dcd5,0.42655212,0.29016814,0.11930044,0.16397923,1
eb64e3d68,0.14519009,0.4800798,0.26600486,0.108725265,2
d899c9ef7,0.03756307,0.056143645,0.065262936,0.8410303,4
bce0e17b9,0.7543945,0.17519438,0.056508135,0.013903009,1
fc3fbbb99,0.3218294,0.13361152,0.08525014,0.45930892,4
0adebbf21,0.12275642,0.18905272,0.17303143,0.51515937,4
8cce291a9,0.87938136,0.096690305,0.02156457,0.0023637414,1
ff4d9a3c6,0.071182184,0.08015004,0.19103993,0.65762776,4
0497c5ed8,0.10010277,0.06249536,0.0737358,0.7636661,4
105c28771,0.24566975,0.34851864,0.14793362,0.257878,2
5afa2e561,0.057759237,0.055820584,0.043020338,0.8433998,4
d5c4ef4c0,0.014337791,0.95881814,0.024854543,0.0019895178,2
50fc25dbe,0.14520043,0.30929264,0.25482666,0.29068023,2
f7999c9bf,0.2058396,0.41252685,0.29529577,0.086337745,2
7a3471df7,0.363452,0.326385,0.19923653,0.110926464,1
e129ff4a1,0.4400657,0.4796309,0.06417139,0.016131962,2
b00e4262e,0.3059144,0.37268105,0.25310943,0.06829517,2
4f45bb293,0.0073052966,0.78124475,0.20980942,0.0016405126,2
776354931,0.14291047,0.07654812,0.124936834,0.65560454,4
aa2a3d9c7,0.16980743,0.42396685,0.1690475,0.23717825,2
e1d86f0b6,0.17887193,0.1960707,0.36640394,0.2586534,3
ebcdfedd2,0.03073004,0.02435977,0.15504593,0.78986424,4
a554dbeca,0.14815436,0.3619965,0.13275665,0.3570925,2
4f7bfcb68,0.27729547,0.32245538,0.16482173,0.23542738,2
cdd815db9,0.0054095527,0.0019833655,0.009033694,0.9835734,4
3f5f5782f,0.1645828,0.3512278,0.08120701,0.40298244,4
b549fd8be,0.021132229,0.023799472,0.022244938,0.93282336,4
47dda9537,0.07183068,0.16053848,0.61392045,0.1537104,3
f895c20f3,0.06234171,0.6191688,0.20107955,0.11740987,2
a963a6979,0.041985173,0.07916213,0.20806709,0.67078555,4
70112a1b9,0.2103964,0.024639731,0.04406531,0.72089857,4
363e8df66,0.23080209,0.6558323,0.10958271,0.0037828805,2
f0137d4e3,0.076997265,0.22266147,0.3926676,0.30767363,3
ddd7cc601,0.21057361,0.19913319,0.30620497,0.28408825,3
04f8947f3,0.22061715,0.43093428,0.17531472,0.17313388,2
16eefbec7,0.042585194,0.14193712,0.023954784,0.7915229,4
e54ee8e55,0.3573179,0.2868982,0.109536566,0.24624737,1
001b1507c,0.83411235,0.13939312,0.023459086,0.003035491,1
42dd3f3ff,0.0068623084,0.9013357,0.09018961,0.0016123082,2
a6e7b6870,0.33714414,0.51731277,0.12095758,0.02458548,2
6fc1c066e,0.025537558,0.047910165,0.80758613,0.11896618,3
eea30b615,0.17305335,0.5474859,0.13096023,0.14850062,2
88666f74e,0.072998054,0.44075432,0.4376098,0.0486378,2
09e39377f,0.014591707,0.31315234,0.66123646,0.011019473,3
69a1b02f6,0.00829208,0.73362386,0.24704047,0.0110436035,2
00f3a3993,0.22867846,0.28478542,0.41759047,0.06894566,3
111748c15,0.002492688,0.9503602,0.046604514,0.0005425484,2
faec94482,0.09397155,0.24542499,0.65518534,0.0054181274,3
a89005005,0.20458762,0.3245228,0.21231936,0.25857025,2
90bc90da2,0.56013316,0.36124438,0.07059201,0.008030427,1
c42cf01ba,0.14284612,0.3012438,0.34083152,0.21507858,3
10bbe5ea4,0.03736109,0.115041025,0.14432529,0.7032726,4
6d7e560d9,0.49137956,0.24831617,0.09894449,0.16135982,1
9572f7e6b,0.09804472,0.05230488,0.028622717,0.8210277,4
7959e3491,0.16617362,0.29324195,0.44327646,0.097307965,3
58805776d,0.12976404,0.10030427,0.19769049,0.5722412,4
9fdb3a2a2,0.26628128,0.32816562,0.11514178,0.29041132,2
1c7d56a42,0.004670528,0.005260012,0.013349817,0.9767196,4
5027f31e5,0.23385756,0.5223116,0.22304009,0.02079071,2
8ced67d36,0.27641857,0.19562913,0.08997642,0.43797588,4
cf9bc2dc8,0.053347617,0.5525179,0.32269585,0.071438655,2
a79983c71,0.07825039,0.23434444,0.5926486,0.09475657,3
15f89f939,0.28456354,0.5694272,0.11368057,0.032328684,2
61f95d269,0.18580756,0.19823188,0.06028491,0.5556757,4
1bb0600a7,0.15825781,0.7838431,0.056093518,0.0018055626,2
8019d0c63,0.03225565,0.08391783,0.08673536,0.79709125,4
40d7cb083,0.5366006,0.40476352,0.035534453,0.023101429,1
188f8b07e,0.17989288,0.51188344,0.074505545,0.23371817,2
ec7ebdb47,0.4250347,0.48917478,0.08401971,0.0017707647,2
da8cfd914,0.58804643,0.21619785,0.17374568,0.022010088,1
2398599fc,0.37439737,0.3013592,0.13378225,0.19046119,1
63a1fb887,0.30864617,0.29966855,0.0782776,0.3134076,4
81da09ea9,0.24787149,0.13252759,0.530434,0.08916692,3
360dcecb1,0.02131526,0.43843842,0.31013748,0.23010887,2
2027f2dfd,0.75795364,0.19341248,0.03483881,0.0137951225,1
ea4fe7ae2,0.08147504,0.13022187,0.34347272,0.4448304,4
b3543dda3,0.0010695764,0.95506346,0.043691933,0.00017499021,2
9e2a19b16,0.14354177,0.12805554,0.06518684,0.6632158,4
0a14ac037,0.06552353,0.7371724,0.19156796,0.005736058,2
f4cf82def,0.2899297,0.44963187,0.15317515,0.10726328,2
4ad400ba0,0.10085866,0.05169656,0.5772892,0.27015555,3
752b2d9c5,0.07363829,0.31440592,0.27888435,0.33307138,4
